,songtext
Elton John,"Raised to be a lady by the golden rule
Alice was the spawn of a public school
With a double-barrel name in the back of her brain
And a simple case of mummy-doesn't-love-me blues

Reality it seems, was just a dream
She couldn't get it on with the boys on the scene
But what do you expect from a chick who's just sixteen?
And hey, hey, hey (hey, hey, hey) you know what I mean

All the young girls love Alice
Tender young Alice, they say
Come over and see me
Come over and please me
Alice, it's my turn today

All the young girls love Alice
Tender young Alice, they say
If I give you my number
Will you promise to call me?
Wait till my husband's away

Poor little darling with a chip out of her heart
It's like acting in a movie when you got the wrong part
Getting your kicks in another girl's bed
And it was only last Tuesday they found you in the subway dead

And who could you call your friends down in Soho?
One or two middle-aged dykes in a Go-Go
And what do you expect from a sixteen year old yo-yo
And hey, hey, hey (hey, hey, hey) oh don't you know?

All the young girls love Alice
Tender young Alice, they say
Come over and see me
Come over and please me
Alice, it's my turn today

All the young girls love Alice
Tender young Alice, they say
If I give you my number
Will you promise to call me?
Wait till my husband's away"
Elton John,"If it came to pass that they should ask
What could I tell them
Would they criticize behind my back
Maybe I should let them
Oh if only then and only then
They would understand
They'd turn a full-blooded city boy
Into a full-blooded city man

If they could face it
I could take it in their eyes
Oh I know I'd make it
Their tiny minds
And sacred cows, just fake it
Oh if only then and only then
They would understand
They'd turn a full-blooded city boy
Into a full-blooded city man

But I know the way they want me
In the way they publicize
If they could turn their focus off
To the image in their eyes
Maybe it would help them, help them understand
Maybe it would help them, help them understand
Maybe it would help them, help them understand
That a full-blooded city boy
Is now a full-blooded city man

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul

Oh my soul
Oh my soul
Oh my soul"
Elton John,"You know it, it is only true
That you could be the best of you
How I wonder miles away
Tying horseshoes by the bay

As we know, maybe faster
All the way down to El Paso

Many say and lucky do
My own fire once said it too
Leave the ocean live and play
Door on sockets yesterday

As we know, maybe faster
All the way down to El Paso

Is it fair or nestled sorrow
You could be there tomorrow

As we know, maybe faster
All the way down to El Paso

Whooo

Whooo

As we know, maybe faster
All the way down to El Paso"
Elton John,"Well, we're living here in Allentown
And they're closing all the factories down
Out in Bethlehem, they're killing time
Filling out forms
Standing in line
Well, our fathers fought the Second World War
Spent their weekends on the Jersey Shore
Met our mothers at the USO
Asked them to dance
Danced with them slow
And we're living here in Allentown

But the restlessness was handed down
And it's getting very hard to stay

Well, we're waiting here in Allentown
For the Pennsylvania we never found
For the promises our teachers gave
If we worked hard
If we behaved

So the graduations hang on the wall
But they never really helped us at all
No, they never taught us what was real
Iron and coke
Chromium steel
And we're waiting here in Allentown

But they've taken all the coal from the ground
And the union people crawled away

Every child had a pretty good shot
To get at least as far as their old man got
But something happened on the way to that place
They threw an American flag in our face

Well, I'm living here in Allentown
And it's hard to keep a good man down
But I won't be getting up today

Hey, hey, hey, oh, oh
And it's getting very hard to stay
And we're living here in Allentown"
Elton John,"You're a cool little one
My dark southern breeze
Sweeps through my fingers
And it amazes me

Dixie shadowland
Your envy shelters me
Lay down your burden
Mystery of ebony

And it amazes me
Oh it amazes me
Maybe the heat babe could be this tune
It amazes me
It amazes me
What drives me crazy is that big fat yellow moon

Look up that pale light
Well she's waking the trees
I'm drifting in your hoodoo
And it amazes me

That magnolia state
Got a hold on me
I got no blues to preach
Just Mississippi company

Ain't no magic potion
No gri-gri on her side
She's bound to my salvation
Sweet little mama
Take me down by the river tonight
And it amazes me"
Elton John,"Deaf Dumb and blind boy
He's in a quiet vibration land
Strange as it seems his musical dreams
Ain't quite so bad.

Ten years old
With thoughts as bold as thought can be
Loving life and becoming wise
In simplicity.

Sickness will surely take the mind
Where minds can't usually go.
Come on the amazing journey
And learn all you should know.

A vague haze of delerium
creeps up on me.
All at once a tall stranger I suddenly see.
He's dressed in a silver sparked

Glittering gown
And His golden beard flows
Nearly down to the ground.
Nothing to say and nothing to hear

And nothing to see.
Each sensation makes a note in my symphony.
Sickness will surely take the mind
Where minds can't usually go.

Come on the amazing journey
And learn all you should know.
His eyes are the eyes that
Transmit all they know.

Sparkle warm crystalline glances to show
That he is your leader
And he is your guide
On the amazing journey together you'll ride.

Sparks"
Elton John,"Amen, Amen, Amen, Amen, Amen 

See the little baby 
Wrapped in a manger 
On Christmas Morning 
Amen, Amen, Amen 

See him in the Temple 
Talking with the Elders 
Tomorrows Wisdom 
Amen, Amen, Amen 
Amen, Amen, Amen, Amen, Amen 

Down at the Jordan 
And John was baptising 
And Savin' all sinners 
Amen, Amen, Amen 

See 'em at the Seaside 
Talking with the fisherman 
And makin' disciples 
Amen, Amen, Amen, Amen, Amen 
Amen, Amen, Amen, Amen, Amen 

Sing it through the mountains"
Elton John,"Seen him playing in his backyard
Young boy just starting out
So much history in this landscape
So much confusion, so much doubt

Been there drinking on that front porch
Angry kids, mean and dumb
Looks like a painting, that blue skyline
God hates fags where we come from

'Western skies' don't make it right
'Home of the brave' don't make no sense
I've seen a scarecrow wrapped in wire
Left to die on a high ridge fence

It's a cold, cold wind
It's a cold, cold wind
It's a cold wind blowing, Wyoming

See two coyotes run down a deer
Hate what we don't understand
You pioneers give us your children
But it's your blood that stains their hands

Somewhere that road forks up ahead
To ignorance and innocence
Three lives drift on different winds
Two lives ruined, one life spent"
Elton John,"Lately I've been thinking how much I miss my lady
Amoreena's in the cornfield brightening the daybreak
Living like a lusty flower, running through the grass for hours
Rolling through the hay like a puppy child

And when it rains the rain falls down
Washing out the cattle town
And she's far away somewhere in her eiderdown
And she dreams of crystal streams
Of days gone by when we would lean
Laughing fit to burst upon each other

I can see you sitting eating apples in the evening
The fruit juice flowing slowly, slowly, slowly
Down the bronze of your body
Living like a lusty flower, running through the grass for hours
Rolling through the hay like a puppy child

And when it rains the rain falls down
Washing out the cattle town
And she's far away somewhere in her eiderdown
And she dreams of crystal streams
Of days gone by when we would lean
Laughing fit to burst upon each other

Oh if only I could nestle in the cradle of your cabin
My arms around your shoulders the windows wide and open
While the swallow and the sycamore are playing in the valley
Oh I miss you Amoreena like a king bee misses honey

And when it rains the rain falls down
Washing out the cattle town
And she's far away somewhere in her eiderdown
And she dreams of crystal streams
Of days gone by when we would lean
Laughing fit to burst upon each other

And when it rains the rain falls down
Washing out the cattle town
And she's far away somewhere in her eiderdown
And she dreams of crystal streams
Of days gone by when we would lean
Laughing fit to burst upon each other

Lately I've been thinking how much I miss my lady
Amoreena's in the cornfield brightening the daybreak
Living like a lusty flower, running through the grass for hours
Rolling through the hay like a puppy, like a puppy child"
Elton John,"Tread on my face if you like little lady
Turn me inside out if you have to baby
But don't you cross me off your list
Ooo I am young and I ain't never been kissed
Never been kissed by a lady called Amy

You're far out, you're fab and insane
A woman of the world, it's quite plain
My dad told me Amy's your name
Said he'd break my neck if I played your game
But he can bust my neck 'cause I love you all the same

Amy I know you don't have to show your affection
'Cause the big boys like you and to you I'm an infection
So if you don't want me around
I think I'll run along and drown
You can't want this bum in town, Amy

Amy I know you don't have to show your affection
'Cause the big boys like you and to you I'm an infection
So if you don't want me around
I think I'll run along and drown
You can't want this bum in town, Amy

I'm beaten on the streets 'cause I loves ya
I watch you go to work in the summer
I don't whistle at you down the street
I would if I could but I can't whistle you see

Amy I may not be James Dean
Amy I may not be nineteen
And I may still be in romper boots and jeans
But ooo ooo, Amy you're the girl that wrecks my dreams

Amy I may not be James Dean
Amy I may not be nineteen
And I may still be in romper boots and jeans
But ooo ooo, Amy you're the girl that wrecks my dreams"
Elton John,"The sun is up and the shades are all pulled down
I'm more paranoid with every little sound
Like the leaf blower blowing the leaves around
And a siren wailing on the other side of town

Oh the TVs on and the colors really hurt my head
If I could think straight I'd wish that I was dead
Or curled up naked in my lover's bed
Instead I'm hanging over Hell suspended by a single thread

[Chorus:]
And I don't recall who said it at this time
That your enemies grow strong on what you leave behind
I built it up and the wolf he came around
He huffed and puffed and the house fell down

With a rolled up note I'm hovering on that line
Three days on a diet of cocaine and wine
And a little weed just to level me sometime
I put the clock in the drawer 'cause I've cancelled out the time

[Chorus]

So don't knock on my door, don't try to call
I'm holed up in this room talking to the wall
When you're high as this you think you know it all
When you're this deep in there's no place else to fall

[Chorus]

And still that saying gets inside my mind
That your enemies grow strong on what you leave behind
I built it up and the wolf he came around
He huffed and puffed and the house fell down"
Elton John,"Well, I'm work shy, I'm wild-eyed
So shut that door when the baby cries
Keep me well fed, give me warm bread
Lay my body on a feather bed

And spoil me, Angeline, get to work
When the whistle screams, Angeline

Maybe someday, some way
Somewhere in the future there's more pay
Give me more cash, bring me sour mash
Peel me a grape and fetch my stash

And bite me, Angeline, let me use
You like a sex machine, Angeline

You've got to swing that hammer, punch that card
Angeline, I love you when you work so hard
Swing that hammer and sew my jeans
Angeline just loves it when I treat her mean, Angeline

Well, I talk tough, I act rough
Lay still honey, I can't get enough
And keep your nose clean, let me be
On your knees when you speak to me

And trust me, Angeline and talk real dirty
And I'll make you scream, Angeline

You've got to swing that hammer and punch that card
Angeline, I love you when you work so hard
Swing that hammer and sew my jeans
Angeline just loves it when I treat her mean

You've got to swing that hammer, punch that card
Angeline, I love you when you work so hard
Swing that hammer and sew my jeans
Angeline just loves it when I treat her mean

Angeline just loves it when I treat her mean
Angeline, Angeline, treat her mean, Angeline
Treat her mean, Angeline, treat her mean, Angeline
"
Elton John,"There's a place in the world  for the angry young man 
With his working class ties and his radical plans 
He refuses to bend, he refuses to crawl 
And he's always at home with his back to the wall. 
He's proud of the scars and the battles he's lost 
He struggles and bleeds as he hangs on the cross 
And he likes to be known as the angry young man. 

Give a moment or two to the angry young man 
With his foot in his mouth and his heart in his hand 
He's been stabbed in the back, he's been misunderstood 
It's a comfort to know his intentions are good 
He sits in a room with a lock on the door 
With his maps and his medals laid out of the floor 
And he likes to be known as the angry young man. 

I believe I've passed the age of consciousness and righteous rage, 
I've found that just surviving was a noble fight 
I once believed in causes too, had my pointless point of view 
Life went on no matter who was right or wrong. 

And there's always a place for the angry young man 
With his fist in the air and his head in the sand 
He's never been able to learn from mistakes 
He can't understand why his heart always breaks 
His honor is pure, and his courage as well 
He's fair and he's true, and he's boring as hell 
And he'll go to his grave as an angry old man. 

There's a place in the world  for the angry young man 
With his working class ties and his radical plans 
He refuses to bend, he refuses to crawl 
And he's always at home with his back to the wall. 
He's proud of the scars and the battles he's lost 
He struggles and bleeds as he hangs on the cross 
And he likes to be known as the angry young man."
Elton John,"Well they say that it's a fact
If you watch the sky at night
And if you stare into the darkness
You might see celestial light
And if your heart is empty
And there's no hope in sight
There's a chance you'll find an answer in the sky

Well they say that it's a shame
If you have nothing to believe
And if you can't hold onto something
You might as well die where you sleep
You don't need a prayer
And there's no price to ask why
Sometimes you'll find an answer in the sky

And it's all so much bigger than it seems
And it all overwhelms us now and then
And I'm banking on a chance we believe
That good can still control the hearts of men

Sometimes you'll find an answer in the sky

And it's all so much bigger than it seems
And it all overwhelms us now and then
And I'm banking on a chance that we believe
That good can still control the hearts of men

This life's a long old road
We shouldn't have to walk alone
But if you find the right companion
You won't feel so worn out when you've grown
All life is precious
And every day's a prize
And sometimes you'll find an answer in the sky

All life is precious
And every day's a prize
And sometimes you'll find an answer in the sky

And sometimes you'll find an answer in the sky

And sometimes you'll find an answer in the sky"
